chim	Chimborazo
dolna_srudena	Dolna srudena (bel)
dolni_bogrov,_sof_3	Dolni bogrov (sof)
dolni_bogrov	Dolni bogrov (sof)
dolno_levski,_pan_3	Dolno levski (pan)
dolno_levski	Dolno levski (pan)
dorkovo,_velgr_3	Dorkovo (velgr)
dorkovo	Dorkovo (velgr)
drabishna,_ivgr_3	Drabishna (ivgr)
drabishna	Drabishna (ivgr)
dragizhevo,_vtarn_3	Dragizhevo (vtarn)
dragizhevo	Dragizhevo (vtarn)
dragodanovo,_sliv_3	Dragodanovo (sliv)
dragodanovo	Dragodanovo (sliv)
dragoevo,_presl_3	Dragoevo (presl)
dragoevo	Dragoevo (presl)
dragojchinci,_kjust_3	Dragojchinci (kjust)
dragojchinci	Dragojchinci (kjust)
elov_dol,_pk_3	Elov dol (pk)
elov_dol	Elov dol (pk)
enina,_kaz_3	Enina (kaz)
enina	Enina (kaz)
ezerovo,_parvom_3	Ezerovo (parvom)
ezerovo	Ezerovo (parvom)
furen,_vrach_3	Furen (vrach)
furen	Furen (vrach)
gabare,_bslat_3	Gabare (bslat)
gabare	Gabare (bslat)
gabra,_elpel_3	Gabra (elpel)
gabra	Gabra (elpel)
galata,_tetev_3	Galata (tetev)
galata	Galata (tetev)
ganchovec,_drjan_3	Ganchovec (drjan)
ganchovec	Ganchovec (drjan)
garmen,_gd_3	Garmen (gd)
garmen	Garmen (gd)
garvan,_sil_3	Garvan (sil)
garvan	Garvan (sil)
gega,_petr_3	Gega (petr)
gega	Gega (petr)
glozhene,_orjah_3	Glozhene (orjah)
glozhene	Glozhene (orjah)
golema_rakovica,_elpel_3	Golema rakovica (elpel)
golema_rakovica	Golema rakovica (elpel)
golemo_malovo,_sliven_3	Golemo malovo (sliven)
golemo_malovo	Golemo malovo (sliven)
golica,_varn_3	Golica (varn)
golica	Golica (varn)
goljama_zheljazna,_tetev_3	Goljama zheljazna (tetev)
goljama_zheljazna	Goljama zheljazna (tetev)
goljamo_shivachevo,_sliv_3	Goljamo shivachevo (sliv)
goljamo_shivachevo	Goljamo shivachevo (sliv)
gorna_rosica,_sevl_3	Gorna rosica (sevl)
gorna_rosica	Gorna rosica (sevl)
gorni_varpishta,_drjan_3	Gorni varpishta (drjan)
gorni_varpishta	Gorni varpishta (drjan)
govedarci,_sam_3	Govedarci (sam)
govedarci	Govedarci (sam)
gradec,_vd_3	Gradec (vd)
gradec	Gradec (vd)
huhla,_ivgr_3	Huhla (ivgr)
huhla	Huhla (ivgr)
hvojna,_asgr_3	Hvojna (asgr)
hvojna	Hvojna (asgr)
indzhe_vojvoda,_mtarn_3	Indzhe vojvoda (mtarn)
indzhe_vojvoda	Indzhe vojvoda (mtarn)
ivanski,_shum_3	Ivanski (shum)
ivanski	Ivanski (shum)
izvorovo,_harm_3	Izvorovo (harm)
izvorovo	Izvorovo (harm)
javorovo,_asgr_3	Javorovo (asgr)
javorovo	Javorovo (asgr)
kalipetrovo,_sil_3	Kalipetrovo (sil)
kalipetrovo	Kalipetrovo (sil)
kalojanovo,_plov_3	Kalojanovo (plov)
kalojanovo	Kalojanovo (plov)
karaisen,_pavl_3	Karaisen (pavl)
karaisen	Karaisen (pavl)
karanovo,_ajt_3	Karanovo (ajt)
karanovo	Karanovo (ajt)
kaspichan,_np_3	Kaspichan (np)
kaspichan	Kaspichan (np)
kolju_marinovo,_chirp_3	Kolju marinovo (chirp)
kolju_marinovo	Kolju marinovo (chirp)
kopilovci,_mont_3	Kopilovci (mont)
kopilovci	Kopilovci (mont)
koprivshtica,_pird_3	Koprivshtica (pird)
koprivshtica	Koprivshtica (pird)
korten,_nzag_3	Korten (nzag)
korten	Korten (nzag)
kostenec,_iht_3	Kostenec (iht)
kostenec	Kostenec (iht)
kovachevci,_sam_3	Kovachevci (sam)
kovachevci	Kovachevci (sam)
kozichino,_pom_3	Kozichino (pom)
kozichino	Kozichino (pom)
kramolin,_sevl_3	Kramolin (sevl)
kramolin	Kramolin (sevl)
kravenik,_sevl_3	Kravenik (sevl)
kravenik	Kravenik (sevl)
kreta,_vrach_3	Kreta (vrach)
kreta	Kreta (vrach)
krivnja,_razgr_3	Krivnja (razgr)
krivnja	Krivnja (razgr)
levunovo,_sand_3	Levunovo (sand)
levunovo	Levunovo (sand)
lipnica,_botgr_3	Lipnica (botgr)
lipnica	Lipnica (botgr)
ljubenova_mahala,_nzag_3	Ljubenova mahala (nzag)
ljubenova_mahala	Ljubenova mahala (nzag)
lobosh,_rad_3	Lobosh (rad)
lobosh	Lobosh (rad)
lozen,_sof_3	Lozen (sof)
lozen	Lozen (sof)
malomirovo,_elh_3	Malomirovo (elh)
malomirovo	Malomirovo (elh)
marikostinovo,_petr_3	Marikostinovo (petr)
marikostinovo	Marikostinovo (petr)
markovo,_shum_3	Markovo (shum)
markovo	Markovo (shum)
merdanja,_vtarn_3	Merdanja (vtarn)
merdanja	Merdanja (vtarn)
merichleri,_chirp_3	Merichleri (chirp)
merichleri	Merichleri (chirp)
mihalci,_pavl_3	Mihalci (pavl)
mihalci	Mihalci (pavl)
milchina_laka,_kul_3	Milchina laka (kul)
milchina_laka	Milchina laka (kul)
momchilovci,_smol_3	Momchilovci (smol)
momchilovci	Momchilovci (smol)
momina_banja,_pl_3	Momina banja (pl)
momina_banja	Momina banja (pl)
momina_klisura,_pz_3	Momina klisura (pz)
momina_klisura	Momina klisura (pz)
momkovo,_svgr_3	Momkovo (svgr)
momkovo	Momkovo (svgr)
mugla,_dev_3	Mugla (dev)
mugla	Mugla (dev)
nikolovo(lipnik),_rus_3	Nikolovo(lipnik) (rus)
nikolovo(lipnik)	Nikolovo(lipnik) (rus)
nikolovo,_hask_3	Nikolovo (hask)
nikolovo	Nikolovo (hask)
noevci,_brezn_3	Noevci (brezn)
noevci	Noevci (brezn)
nova_lovcha,_gd_3	Nova lovcha (gd)
nova_lovcha	Nova lovcha (gd)
nova_nadezhda,_hs_3	Nova nadezhda (hs)
nova_nadezhda	Nova nadezhda (hs)
novo_selo,_trojan_3	Novo selo (trojan)
novo_selo	Novo selo (trojan)
ognen,_karn_3	Ognen (karn)
ognen	Ognen (karn)
omarchevo,_nzag_3	Omarchevo (nzag)
omarchevo	Omarchevo (nzag)
opan,_stzag_3	Opan (stzag)
opan	Opan (stzag)
osenec,_razgr_3	Osenec (razgr)
osenec	Osenec (razgr)
panagjurishte,_gd_3	Panagjurishte (gd)
panagjurishte	Panagjurishte (gd)
pavelsko,_asgr_3	Pavelsko (asgr)
pavelsko	Pavelsko (asgr)
pelatikovo,_kjust_3	Pelatikovo (kjust)
pelatikovo	Pelatikovo (kjust)
petarnica,_plev_3	Petarnica (plev)
petarnica	Petarnica (plev)
pevec,_targ_3	Pevec (targ)
pevec	Pevec (targ)
plakovo,_vt_3	Plakovo (vt)
plakovo	Plakovo (vt)
podvis,_karn_3	Podvis (karn)
podvis	Podvis (karn)
pozharevo,_tutr_3	Pozharevo (tutr)
pozharevo	Pozharevo (tutr)
rabisha,_belgr_3	Rabisha (belgr)
rabisha	Rabisha (belgr)
radovene,_vr_3	Radovene (vr)
radovene	Radovene (vr)
rakovica,_kul_3	Rakovica (kul)
rakovica	Rakovica (kul)
rani_lug,_tryn_3	Rani lug (tryn)
rani_lug	Rani lug (tryn)
ruzhinci,_belgr_3	Ruzhinci (belgr)
ruzhinci	Ruzhinci (belgr)
sekirovo,_plov_3	Sekirovo (plov)
sekirovo	Sekirovo (plov)
senokos,_blgr_3	Senokos (blgr)
senokos	Senokos (blgr)
sestrino,_petr_3	Sestrino (petr)
sestrino	Sestrino (petr)
shipka,_kaz_3	Shipka (kaz)
shipka	Shipka (kaz)
shiroka_laka,_dev_3	Shiroka laka (dev)
shiroka_laka	Shiroka laka (dev)
shiroki_dol,_sam_3	Shiroki dol (sam)
shiroki_dol	Shiroki dol (sam)
shtipsko,_prov_3	Shtipsko (prov)
shtipsko	Shtipsko (prov)
skobelevo,_sliv_3	Skobelevo (sliv)
skobelevo	Skobelevo (sliv)
slaveino,_smol_3	Slaveino (smol)
slaveino	Slaveino (smol)
slavjanovo,_plev_3	Slavjanovo (plev)
slavjanovo	Slavjanovo (plev)
smochevo,_dupn_3	Smochevo (dupn)
smochevo	Smochevo (dupn)
smolsko,_pird_3	Smolsko (pird)
smolsko	Smolsko (pird)
solishta,_dev_3	Solishta (dev)
solishta	Solishta (dev)
sredec,_zlgr_3	Sredec (zlgr)
sredec	Sredec (zlgr)
stakevci,_blgr_3	Stakevci (blgr)
stakevci	Stakevci (blgr)
stambolovo,_hask_3	Stambolovo (hask)
stambolovo	Stambolovo (hask)
stoilovo,_mt_3	Stoilovo (mt)
stoilovo	Stoilovo (mt)
straldzha,_jamb_3	Straldzha (jamb)
straldzha	Straldzha (jamb)
stroevo,_plov_3	Stroevo (plov)
stroevo	Stroevo (plov)
sushica,_blgr_3	Sushica (blgr)
sushica	Sushica (blgr)
svetlina,_topgr_3	Svetlina (topgr)
svetlina	Svetlina (topgr)
svirkovo,_harm_3	Svirkovo (harm)
svirkovo	Svirkovo (harm)
tihomir,_krgr_3	Tihomir (krgr)
tihomir	Tihomir (krgr)
tihomirovo,_stzag_3	Tihomirovo (stzag)
tihomirovo	Tihomirovo (stzag)
topolchane,_sliv_3	Topolchane (sliv)
topolchane	Topolchane (sliv)
trancovica,_nik_3	Trancovica (nik)
trancovica	Trancovica (nik)
trastenik,_plev_3	Trastenik (plev)
trastenik	Trastenik (plev)
ustovo,_sm_3	Ustovo (sm)
ustovo	Ustovo (sm)
vabel,_nik_3	Vabel (nik)
vabel	Vabel (nik)
vaklinovo,_gd_3	Vaklinovo (gd)
vaklinovo	Vaklinovo (gd)
valche_pole,_svgr_3	Valche pole (svgr)
valche_pole	Valche pole (svgr)
varbica,_presl_3	Varbica (presl)
varbica	Varbica (presl)
varbovo,_blgr_3	Varbovo (blgr)
varbovo	Varbovo (blgr)
vardun,_targ_3	Vardun (targ)
vardun	Vardun (targ)
varvara,_paz_3	Varvara (paz)
varvara	Varvara (paz)
vasiljovo,_tetev_3	Vasiljovo (tetev)
vasiljovo	Vasiljovo (tetev)
velkovci,_pk_3	Velkovci (pk)
velkovci	Velkovci (pk)
vinarovo,_vid_3	Vinarovo (vid)
vinarovo	Vinarovo (vid)
vladinja,_lov_3	Vladinja (lov)
vladinja	Vladinja (lov)
voden,_elh_3	Voden (elh)
voden	Voden (elh)
vojnjagovo,_karl_3	Vojnjagovo (karl)
vojnjagovo	Vojnjagovo (karl)
vrachesh,_botgr_3	Vrachesh (botgr)
vrachesh	Vrachesh (botgr)
vranilovci,_gabr_3	Vranilovci (gabr)
vranilovci	Vranilovci (gabr)
vresovo,_ajt_3	Vresovo (ajt)
vresovo	Vresovo (ajt)
zabardo,_asgr_3	Zabardo (asgr)
zabardo	Zabardo (asgr)
zabernovo,_mt_3	Zabernovo (mt)
zabernovo	Zabernovo (mt)
zanozhene,_berk_3	Zanozhene (berk)
zanozhene	Zanozhene (berk)
zdravkovec,_gabr_3	Zdravkovec (gabr)
zdravkovec	Zdravkovec (gabr)
zelenigrad,_tran_3	Zelenigrad (tran)
zelenigrad	Zelenigrad (tran)
zhaltusha,_ard_3	Zhaltusha (ard)
zhaltusha	Zhaltusha (ard)
zheglica,_vid_3	Zheglica (vid)
zheglica	Zheglica (vid)
zhelen,_svog_3	Zhelen (svog)
zhelen	Zhelen (svog)
zheljazkovo,_sred_3	Zheljazkovo (sred)
zheljazkovo	Zheljazkovo (sred)
zheravna,_kot_3	Zheravna (kot)
zheravna	Zheravna (kot)
asparuhovo,_lom_4	Asparuhovo (lom)
asparuhovo	Asparuhovo (lom)
asparuhovo,_prov_4	Asparuhovo (prov)
asparuhovo	Asparuhovo (prov)
babjak,_razl_4	Babjak (razl)
babjak	Babjak (razl)
bachkovo,_asgr_4	Bachkovo (asgr)
bachkovo	Bachkovo (asgr)
bagrenci,_kjust_4	Bagrenci (kjust)
bagrenci	Bagrenci (kjust)
balgari,_carev_4	Balgari (carev)
balgari	Balgari (carev)
banishte,_brezn_4	Banishte (brezn)
banishte	Banishte (brezn)
bansko,_razl_4	Bansko (razl)
bansko	Bansko (razl)
beglezh,_luk_4	Beglezh (luk)
beglezh	Beglezh (luk)
belene,_svisht_4	Belene (svisht)
belene	Belene (svisht)
belica,_razl_4	Belica (razl)
belica	Belica (razl)
bistrica,_blgr_4	Bistrica (blgr)
bistrica	Bistrica (blgr)
bogdanov_dol,_pern_4	Bogdanov dol (pern)
bogdanov_dol	Bogdanov dol (pern)
borisovo,_elh_4	Borisovo (elh)
borisovo	Borisovo (elh)
bov,_svog_4	Bov (svog)
bov	Bov (svog)
brashljan,_mtarn_4	Brashljan (mtarn)
brashljan	Brashljan (mtarn)
buchin_prohod,_god_4	Buchin prohod (god)
buchin_prohod	Buchin prohod (god)
caparevo,_sand_4	Caparevo (sand)
caparevo	Caparevo (sand)
cerovica,_kjust_4	Cerovica (kjust)
cerovica	Cerovica (kjust)
chepelare,_asgr_4	Chepelare (asgr)
chepelare	Chepelare (asgr)
chernogorovo,_paz_4	Chernogorovo (paz)
chernogorovo	Chernogorovo (paz)
chernomorec,_bs_4	Chernomorec (bs)
chernomorec	Chernomorec (bs)
chukovec,_radom_4	Chukovec (radom)
chukovec	Chukovec (radom)
dermanci,_luk_4	Dermanci (luk)
dermanci	Dermanci (luk)
devenci,_luk_4	Devenci (luk)
devenci	Devenci (luk)
devesilica,_krgr_4	Devesilica (krgr)
devesilica	Devesilica (krgr)
dichin,_vtarn_4	Dichin (vtarn)
dichin	Dichin (vtarn)
dinevo,_hask_4	Dinevo (hask)
dinevo	Dinevo (hask)
diva_slatina,_mont_4	Diva slatina (mont)
diva_slatina	Diva slatina (mont)
divdjadovo,_shum_4	Divdjadovo (shum)
divdjadovo	Divdjadovo (shum)
dobarsko,_razl_4	Dobarsko (razl)
dobarsko	Dobarsko (razl)
dobroselec,_topgr_4	Dobroselec (topgr)
dobroselec	Dobroselec (topgr)
dobroslavci,_sof_4	Dobroslavci (sof)
dobroslavci	Dobroslavci (sof)
dobrotino,_gd_4	Dobrotino (gd)
dobrotino	Dobrotino (gd)
dolna_beshovica,_vrach_4	Dolna beshovica (vrach)
dolna_beshovica	Dolna beshovica (vrach)
dolna_melna,_tran_4	Dolna melna (tran)
dolna_melna	Dolna melna (tran)
dolna_riksa,_mont_4	Dolna riksa (mont)
dolna_riksa	Dolna riksa (mont)
dolna_srudena,_bel_4	Dolna srudena (bel)
dolna_srudena	Dolna srudena (bel)
dolni_bogrov,_sof_4	Dolni bogrov (sof)
dolni_bogrov	Dolni bogrov (sof)
dolno_levski,_pan_4	Dolno levski (pan)
dolno_levski	Dolno levski (pan)
dorkovo,_velgr_4	Dorkovo (velgr)
dorkovo	Dorkovo (velgr)
drabishna,_ivgr_4	Drabishna (ivgr)
drabishna	Drabishna (ivgr)
dragizhevo,_vtarn_4	Dragizhevo (vtarn)
dragizhevo	Dragizhevo (vtarn)
dragodanovo,_sliv_4	Dragodanovo (sliv)
dragodanovo	Dragodanovo (sliv)
dragoevo,_presl_4	Dragoevo (presl)
dragoevo	Dragoevo (presl)
dragojchinci,_kjust_4	Dragojchinci (kjust)
dragojchinci	Dragojchinci (kjust)
elov_dol,_pk_4	Elov dol (pk)
elov_dol	Elov dol (pk)
enina,_kaz_4	Enina (kaz)
enina	Enina (kaz)
ezerovo,_parvom_4	Ezerovo (parvom)
ezerovo	Ezerovo (parvom)
furen,_vrach_4	Furen (vrach)
furen	Furen (vrach)
gabare,_bslat_4	Gabare (bslat)
gabare	Gabare (bslat)
gabra,_elpel_4	Gabra (elpel)
gabra	Gabra (elpel)
galata,_tetev_4	Galata (tetev)
galata	Galata (tetev)
ganchovec,_drjan_4	Ganchovec (drjan)
ganchovec	Ganchovec (drjan)
garmen,_gd_4	Garmen (gd)
garmen	Garmen (gd)
garvan,_sil_4	Garvan (sil)
garvan	Garvan (sil)
gega,_petr_4	Gega (petr)
gega	Gega (petr)
glozhene,_orjah_4	Glozhene (orjah)
glozhene	Glozhene (orjah)
golema_rakovica,_elpel_4	Golema rakovica (elpel)
golema_rakovica	Golema rakovica (elpel)
golemo_malovo,_sliven_4	Golemo malovo (sliven)
golemo_malovo	Golemo malovo (sliven)
golica,_varn_4	Golica (varn)
golica	Golica (varn)
goljama_zheljazna,_tetev_4	Goljama zheljazna (tetev)
goljama_zheljazna	Goljama zheljazna (tetev)
goljamo_shivachevo,_sliv_4	Goljamo shivachevo (sliv)
goljamo_shivachevo	Goljamo shivachevo (sliv)
gorna_rosica,_sevl_4	Gorna rosica (sevl)
gorna_rosica	Gorna rosica (sevl)
gorni_varpishta,_drjan_4	Gorni varpishta (drjan)
gorni_varpishta	Gorni varpishta (drjan)
govedarci,_sam_4	Govedarci (sam)
govedarci	Govedarci (sam)
gradec,_vd_4	Gradec (vd)
gradec	Gradec (vd)
huhla,_ivgr_4	Huhla (ivgr)
huhla	Huhla (ivgr)
hvojna,_asgr_4	Hvojna (asgr)
hvojna	Hvojna (asgr)
indzhe_vojvoda,_mtarn_4	Indzhe vojvoda (mtarn)
indzhe_vojvoda	Indzhe vojvoda (mtarn)
ivanski,_shum_4	Ivanski (shum)
ivanski	Ivanski (shum)
izvorovo,_harm_4	Izvorovo (harm)
izvorovo	Izvorovo (harm)
javorovo,_asgr_4	Javorovo (asgr)
javorovo	Javorovo (asgr)
kalipetrovo,_sil_4	Kalipetrovo (sil)
kalipetrovo	Kalipetrovo (sil)
kalojanovo,_plov_4	Kalojanovo (plov)
kalojanovo	Kalojanovo (plov)
karaisen,_pavl_4	Karaisen (pavl)
karaisen	Karaisen (pavl)
karanovo,_ajt_4	Karanovo (ajt)
karanovo	Karanovo (ajt)
kaspichan,_np_4	Kaspichan (np)
kaspichan	Kaspichan (np)
kolju_marinovo,_chirp_4	Kolju marinovo (chirp)
kolju_marinovo	Kolju marinovo (chirp)
kopilovci,_mont_4	Kopilovci (mont)
kopilovci	Kopilovci (mont)
koprivshtica,_pird_4	Koprivshtica (pird)
koprivshtica	Koprivshtica (pird)
korten,_nzag_4	Korten (nzag)
korten	Korten (nzag)
kostenec,_iht_4	Kostenec (iht)
kostenec	Kostenec (iht)
kovachevci,_sam_4	Kovachevci (sam)
kovachevci	Kovachevci (sam)
kozichino,_pom_4	Kozichino (pom)
kozichino	Kozichino (pom)
kramolin,_sevl_4	Kramolin (sevl)
kramolin	Kramolin (sevl)
kravenik,_sevl_4	Kravenik (sevl)
kravenik	Kravenik (sevl)
kreta,_vrach_4	Kreta (vrach)
kreta	Kreta (vrach)
krivnja,_razgr_4	Krivnja (razgr)
krivnja	Krivnja (razgr)
levunovo,_sand_4	Levunovo (sand)
levunovo	Levunovo (sand)
lipnica,_botgr_4	Lipnica (botgr)
lipnica	Lipnica (botgr)
ljubenova_mahala,_nzag_4	Ljubenova mahala (nzag)
ljubenova_mahala	Ljubenova mahala (nzag)
lobosh,_rad_4	Lobosh (rad)
lobosh	Lobosh (rad)
lozen,_sof_4	Lozen (sof)
lozen	Lozen (sof)
malomirovo,_elh_4	Malomirovo (elh)
malomirovo	Malomirovo (elh)
marikostinovo,_petr_4	Marikostinovo (petr)
marikostinovo	Marikostinovo (petr)
markovo,_shum_4	Markovo (shum)
markovo	Markovo (shum)
merdanja,_vtarn_4	Merdanja (vtarn)
merdanja	Merdanja (vtarn)
merichleri,_chirp_4	Merichleri (chirp)
merichleri	Merichleri (chirp)
mihalci,_pavl_4	Mihalci (pavl)
mihalci	Mihalci (pavl)
milchina_laka,_kul_4	Milchina laka (kul)
milchina_laka	Milchina laka (kul)
momchilovci,_smol_4	Momchilovci (smol)
momchilovci	Momchilovci (smol)
momina_banja,_pl_4	Momina banja (pl)
momina_banja	Momina banja (pl)
momina_klisura,_pz_4	Momina klisura (pz)
momina_klisura	Momina klisura (pz)
momkovo,_svgr_4	Momkovo (svgr)
momkovo	Momkovo (svgr)
mugla,_dev_4	Mugla (dev)
mugla	Mugla (dev)
nikolovo(lipnik),_rus_4	Nikolovo(lipnik) (rus)
nikolovo(lipnik)	Nikolovo(lipnik) (rus)
nikolovo,_hask_4	Nikolovo (hask)
nikolovo	Nikolovo (hask)
noevci,_brezn_4	Noevci (brezn)
noevci	Noevci (brezn)
nova_lovcha,_gd_4	Nova lovcha (gd)
nova_lovcha	Nova lovcha (gd)
nova_nadezhda,_hs_4	Nova nadezhda (hs)
nova_nadezhda	Nova nadezhda (hs)
novo_selo,_trojan_4	Novo selo (trojan)
novo_selo	Novo selo (trojan)
ognen,_karn_4	Ognen (karn)
ognen	Ognen (karn)
omarchevo,_nzag_4	Omarchevo (nzag)
omarchevo	Omarchevo (nzag)
opan,_stzag_4	Opan (stzag)
opan	Opan (stzag)
osenec,_razgr_4	Osenec (razgr)
osenec	Osenec (razgr)
panagjurishte,_gd_4	Panagjurishte (gd)
panagjurishte	Panagjurishte (gd)
pavelsko,_asgr_4	Pavelsko (asgr)
pavelsko	Pavelsko (asgr)
pelatikovo,_kjust_4	Pelatikovo (kjust)
pelatikovo	Pelatikovo (kjust)
petarnica,_plev_4	Petarnica (plev)
petarnica	Petarnica (plev)
pevec,_targ_4	Pevec (targ)
pevec	Pevec (targ)
plakovo,_vt_4	Plakovo (vt)
plakovo	Plakovo (vt)
podvis,_karn_4	Podvis (karn)
podvis	Podvis (karn)
pozharevo,_tutr_4	Pozharevo (tutr)
pozharevo	Pozharevo (tutr)
rabisha,_belgr_4	Rabisha (belgr)
rabisha	Rabisha (belgr)
radovene,_vr_4	Radovene (vr)
radovene	Radovene (vr)
rakovica,_kul_4	Rakovica (kul)
rakovica	Rakovica (kul)
rani_lug,_tryn_4	Rani lug (tryn)
rani_lug	Rani lug (tryn)
ruzhinci,_belgr_4	Ruzhinci (belgr)
ruzhinci	Ruzhinci (belgr)
sekirovo,_plov_4	Sekirovo (plov)
sekirovo	Sekirovo (plov)
senokos,_blgr_4	Senokos (blgr)
senokos	Senokos (blgr)
sestrino,_petr_4	Sestrino (petr)
sestrino	Sestrino (petr)
shipka,_kaz_4	Shipka (kaz)
shipka	Shipka (kaz)
shiroka_laka,_dev_4	Shiroka laka (dev)
shiroka_laka	Shiroka laka (dev)
shiroki_dol,_sam_4	Shiroki dol (sam)
shiroki_dol	Shiroki dol (sam)
shtipsko,_prov_4	Shtipsko (prov)
shtipsko	Shtipsko (prov)
skobelevo,_sliv_4	Skobelevo (sliv)
skobelevo	Skobelevo (sliv)
slaveino,_smol_4	Slaveino (smol)
slaveino	Slaveino (smol)
slavjanovo,_plev_4	Slavjanovo (plev)
slavjanovo	Slavjanovo (plev)
smochevo,_dupn_4	Smochevo (dupn)
smochevo	Smochevo (dupn)
smolsko,_pird_4	Smolsko (pird)
smolsko	Smolsko (pird)
solishta,_dev_4	Solishta (dev)
solishta	Solishta (dev)
sredec,_zlgr_4	Sredec (zlgr)
sredec	Sredec (zlgr)
stakevci,_blgr_4	Stakevci (blgr)
stakevci	Stakevci (blgr)
stambolovo,_hask_4	Stambolovo (hask)
stambolovo	Stambolovo (hask)
stoilovo,_mt_4	Stoilovo (mt)
stoilovo	Stoilovo (mt)
straldzha,_jamb_4	Straldzha (jamb)
straldzha	Straldzha (jamb)
stroevo,_plov_4	Stroevo (plov)
stroevo	Stroevo (plov)
sushica,_blgr_4	Sushica (blgr)
sushica	Sushica (blgr)
svetlina,_topgr_4	Svetlina (topgr)
svetlina	Svetlina (topgr)
svirkovo,_harm_4	Svirkovo (harm)
svirkovo	Svirkovo (harm)
tihomir,_krgr_4	Tihomir (krgr)
tihomir	Tihomir (krgr)
tihomirovo,_stzag_4	Tihomirovo (stzag)
tihomirovo	Tihomirovo (stzag)
topolchane,_sliv_4	Topolchane (sliv)
topolchane	Topolchane (sliv)
trancovica,_nik_4	Trancovica (nik)
trancovica	Trancovica (nik)
trastenik,_plev_4	Trastenik (plev)
trastenik	Trastenik (plev)
ustovo,_sm_4	Ustovo (sm)
ustovo	Ustovo (sm)
vabel,_nik_4	Vabel (nik)
vabel	Vabel (nik)
vaklinovo,_gd_4	Vaklinovo (gd)
vaklinovo	Vaklinovo (gd)
valche_pole,_svgr_4	Valche pole (svgr)
valche_pole	Valche pole (svgr)
varbica,_presl_4	Varbica (presl)
varbica	Varbica (presl)
varbovo,_blgr_4	Varbovo (blgr)
varbovo	Varbovo (blgr)
vardun,_targ_4	Vardun (targ)
vardun	Vardun (targ)
varvara,_paz_4	Varvara (paz)
varvara	Varvara (paz)
vasiljovo,_tetev_4	Vasiljovo (tetev)
vasiljovo	Vasiljovo (tetev)
velkovci,_pk_4	Velkovci (pk)
velkovci	Velkovci (pk)
vinarovo,_vid_4	Vinarovo (vid)
vinarovo	Vinarovo (vid)
vladinja,_lov_4	Vladinja (lov)
vladinja	Vladinja (lov)
voden,_elh_4	Voden (elh)
voden	Voden (elh)
vojnjagovo,_karl_4	Vojnjagovo (karl)
vojnjagovo	Vojnjagovo (karl)
vrachesh,_botgr_4	Vrachesh (botgr)
vrachesh	Vrachesh (botgr)
vranilovci,_gabr_4	Vranilovci (gabr)
vranilovci	Vranilovci (gabr)
vresovo,_ajt_4	Vresovo (ajt)
vresovo	Vresovo (ajt)
zabardo,_asgr_4	Zabardo (asgr)
zabardo	Zabardo (asgr)
zabernovo,_mt_4	Zabernovo (mt)
zabernovo	Zabernovo (mt)
zanozhene,_berk_4	Zanozhene (berk)
zanozhene	Zanozhene (berk)
zdravkovec,_gabr_4	Zdravkovec (gabr)
zdravkovec	Zdravkovec (gabr)
zelenigrad,_tran_4	Zelenigrad (tran)
zelenigrad	Zelenigrad (tran)
zhaltusha,_ard_4	Zhaltusha (ard)
zhaltusha	Zhaltusha (ard)
zheglica,_vid_4	Zheglica (vid)
zheglica	Zheglica (vid)
zhelen,_svog_4	Zhelen (svog)
zhelen	Zhelen (svog)
zheljazkovo,_sred_4	Zheljazkovo (sred)
zheljazkovo	Zheljazkovo (sred)
zheravna,_kot_4	Zheravna (kot)
zheravna	Zheravna (kot)
aldomirovci,_slivnica	Aldomirovci (slivnica)
aldomirovci	Aldomirovci (slivnica)
aldomirovci,_slivnica_2	Aldomirovci (slivnica)
aldomirovci	Aldomirovci (slivnica)
dolna_dikanja,_radom_2	Dolna dikanja (radom)
dolna_dikanja	Dolna dikanja (radom)
konska,_brezn_2	Konska (brezn)
konska	Konska (brezn)
s007p	Dutch
s015p	Dutch
s021a	Dutch
stakevci,_blgr._2	Stakevci (blgr)
stakevci	Stakevci (blgr)
zamfirovo,_berk_2	Zamfirovo (berk)
zamfirovo	Zamfirovo (berk)
s007p	Brouckerque (FrVl)
s015p	Bollezeele (FrVl)
s017p	Wulverdinghe (FrVl)
s021a	Nieurlet (FrVl)
Xi_an	Xi'an
saparevo,_dup	Saparevo (dup)
saparevo	Saparevo (dup)
rakevo,_vr	Rakevo (vr)
rakevo	Rakevo (vr)
marchaevo,_sof	Marchaevo (sof)
marchaevo	Marchaevo (sof)
paskalevec,_pavl_2	Paskalevec (pavl)
paskalevec	Paskalevec (pavl)
paskalevec,_pavl_3	Paskalevec (pavl)
paskalevec	Paskalevec (pavl)
dolna_dikanja,_radom_3	Dolna dikanja (radom)
dolna_dikanja	Dolna dikanja (radom)
razboishte,_god_2	Razboishte (god)
razboishte	Razboishte (god)
suhindol,_vtarn	Suhindol (vtarn)
suhindol	Suhindol (vtarn)
zamfirovo,_berk_3	Zamfirovo (berk)
zamfirovo	Zamfirovo (berk)
zamfirovo,_berk_4	Zamfirovo (berk)
zamfirovo	Zamfirovo (berk)
zamfirovo,_berk	Zamfirovo (berk)
zamfirovo	Zamfirovo (berk)
liljache,_vr	Liljache (vr)
liljache	Liljache (vr)
konska,_brezn	Konska (brezn)
konska	Konska (brezn)
